# World Bank, indicator SP.POP.GROW (population growth, annual %), 1970-2023, 24 countries.
# Source: World Bank Open Data (https://data.worldbank.org), retrieved 2026-09-18, CC BY 4.0.
# Country names are shortened and comma-free on purpose: the inline CSV parser splits on ','.
country,year,growth
Pakistan,2021,1.8868
Pakistan,2022,1.7480
Pakistan,2023,1.5488
Philippines,1970,2.5886
Philippines,1971,2.3548
Philippines,1972,2.2840
Philippines,1973,2.2223
Philippines,1974,2.1609
Philippines,1975,2.2727
Philippines,1976,2.5333
Philippines,1977,2.6643
Philippines,1978,2.6848
Philippines,1979,2.6669
Philippines,1980,2.6077
Philippines,1981,2.6050
Philippines,1982,2.7679
Philippines,1983,2.9138
Philippines,1984,2.8921
Philippines,1985,2.7298
Philippines,1986,2.5607
Philippines,1987,2.6350
Philippines,1988,2.6831
Philippines,1989,2.5227
Philippines,1990,2.5612
Philippines,1991,2.4013
Philippines,1992,2.3697
Philippines,1993,2.4046
Philippines,1994,2.1805
Philippines,1995,2.1882
Philippines,1996,2.3036
Philippines,1997,2.3527
Philippines,1998,2.5148
Philippines,1999,2.5561
Philippines,2000,2.3793
Philippines,2001,2.2060
Philippines,2002,2.0277
Philippines,2003,1.9821
Philippines,2004,1.9433
Philippines,2005,1.8594
Philippines,2006,1.6821
Philippines,2007,1.7346
Philippines,2008,1.7673
Philippines,2009,1.8016
Philippines,2010,2.0480
Philippines,2011,1.9647
Philippines,2012,1.9423
Philippines,2013,1.8797
Philippines,2014,1.6428
Philippines,2015,1.4788
Philippines,2016,1.3419
Philippines,2017,1.2883
Philippines,2018,1.2369
Philippines,2019,1.2162
Philippines,2020,1.1455
Philippines,2021,0.9057
Philippines,2022,0.7605
Philippines,2023,0.8100
Russia,1970,0.5691
Russia,1971,0.5743
Russia,1972,0.5732
Russia,1973,0.5745
Russia,1974,0.5735
Russia,1975,0.5739
Russia,1976,0.7032
Russia,1977,0.7027
Russia,1978,0.7029
Russia,1979,0.7031
Russia,1980,0.7097
Russia,1981,0.6675
Russia,1982,0.6283
Russia,1983,0.5983
Russia,1984,0.7574
Russia,1985,0.7767
Russia,1986,0.7176
Russia,1987,0.6974
Russia,1988,0.6483
Russia,1989,0.5866
Russia,1990,0.1680
Russia,1991,0.2867
Russia,1992,0.0970
Russia,1993,-0.0535
Russia,1994,-0.0343
Russia,1995,-0.0216
Russia,1996,-0.1455
Russia,1997,-0.1653
Russia,1998,-0.1655
Russia,1999,-0.3093
Russia,2000,-0.4206
Russia,2001,-0.4241
Russia,2002,-0.4600
Russia,2003,-0.4538
Russia,2004,-0.4027
Russia,2005,-0.3815
Russia,2006,-0.3274
Russia,2007,-0.1711
Russia,2008,-0.0439
Russia,2009,0.0301
Russia,2010,0.0449
Russia,2011,0.1180
Russia,2012,0.2516
Russia,2013,0.2975
Russia,2014,0.2997
Russia,2015,0.2794
Russia,2016,0.2588
Russia,2017,0.1914
Russia,2018,0.0721
Russia,2019,0.0379
Russia,2020,-0.1432
Russia,2021,-0.3437
Russia,2022,-0.3528
Russia,2023,-0.2852
South Africa,1970,3.0316
South Africa,1971,2.9287
South Africa,1972,2.8672
South Africa,1973,2.8593
South Africa,1974,2.8200
South Africa,1975,2.7698
South Africa,1976,2.7053
South Africa,1977,2.7041
South Africa,1978,2.7300
South Africa,1979,2.7067
South Africa,1980,3.0429
South Africa,1981,3.4042
South Africa,1982,3.4571
South Africa,1983,3.4934
South Africa,1984,3.4626
South Africa,1985,3.3348
South Africa,1986,3.1971
South Africa,1987,3.1175
South Africa,1988,3.0460
South Africa,1989,2.9395
South Africa,1990,2.7814
South Africa,1991,2.2847
South Africa,1992,1.7963
South Africa,1993,1.9913
South Africa,1994,1.6197
South Africa,1995,1.2139
South Africa,1996,1.2970
South Africa,1997,1.1980
South Africa,1998,1.2124
South Africa,1999,1.0897
South Africa,2000,0.9147
South Africa,2001,0.8595
South Africa,2002,0.9470
South Africa,2003,0.9966
South Africa,2004,1.0074
South Africa,2005,1.0126
South Africa,2006,1.0217
South Africa,2007,1.0551
South Africa,2008,1.1531
South Africa,2009,1.1939
South Africa,2010,1.1829
South Africa,2011,1.2363
South Africa,2012,1.4748
South Africa,2013,1.6527
South Africa,2014,1.6614
South Africa,2015,2.0099
South Africa,2016,0.9405
South Africa,2017,0.6538
South Africa,2018,1.6824
South Africa,2019,1.6496
South Africa,2020,1.6222
South Africa,2021,1.5406
South Africa,2022,1.4140
South Africa,2023,1.3281
South Korea,1970,2.1842
South Korea,1971,1.9713
South Korea,1972,1.8760
South Korea,1973,1.7683
South Korea,1974,1.7127
South Korea,1975,1.6820
South Korea,1976,1.5966
South Korea,1977,1.5590
South Korea,1978,1.5192
South Korea,1979,1.5169
South Korea,1980,1.5585
South Korea,1981,1.5602
South Korea,1982,1.5455
South Korea,1983,1.4742
South Korea,1984,1.2340
South Korea,1985,0.9846
South Korea,1986,0.9947
South Korea,1987,0.9851
South Korea,1988,0.9792
South Korea,1989,0.9891
South Korea,1990,0.9851
South Korea,1991,0.9898
South Korea,1992,1.0392
South Korea,1993,1.0158
South Korea,1994,1.0062
South Korea,1995,1.0062
South Korea,1996,0.9528
South Korea,1997,0.9377
South Korea,1998,0.7219
South Korea,1999,0.7108
South Korea,2000,0.8362
South Korea,2001,0.7672
South Korea,2002,0.5780
South Korea,2003,0.5183
South Korea,2004,0.3963
South Korea,2005,0.2120
South Korea,2006,0.5252
South Korea,2007,0.5052
South Korea,2008,0.7593
South Korea,2009,0.5147
South Korea,2010,0.4982
South Korea,2011,0.7690
South Korea,2012,0.5257
South Korea,2013,0.4552
South Korea,2014,0.6281
South Korea,2015,0.5273
South Korea,2016,0.3969
South Korea,2017,0.2810
South Korea,2018,0.4335
South Korea,2019,0.3479
South Korea,2020,0.1379
South Korea,2021,-0.1288
South Korea,2022,-0.1875
South Korea,2023,0.0775
Thailand,1970,2.7653
Thailand,1971,2.6973
Thailand,1972,2.6622
Thailand,1973,2.6376
Thailand,1974,2.5479
Thailand,1975,2.4407
Thailand,1976,2.3095
Thailand,1977,2.2363
Thailand,1978,2.1817
Thailand,1979,2.1004
Thailand,1980,2.0618
Thailand,1981,2.0078
Thailand,1982,1.9533
Thailand,1983,1.9366
Thailand,1984,1.8991
Thailand,1985,1.8451
Thailand,1986,1.7883
Thailand,1987,1.7361
Thailand,1988,1.7050
Thailand,1989,1.6465
Thailand,1990,1.6381
Thailand,1991,1.6292
Thailand,1992,1.5895
Thailand,1993,1.5436
Thailand,1994,1.4743
Thailand,1995,1.4271
Thailand,1996,1.3810
Thailand,1997,1.3337
Thailand,1998,1.3056
Thailand,1999,1.2541
Thailand,2000,1.1313
Thailand,2001,1.0158
Thailand,2002,0.9620
Thailand,2003,0.9319
Thailand,2004,0.8961
